City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chokurdakh,70.6333,147.9167,34.74,97,98,7.23,RU,1660413747
Port Hardy,50.6996,-127.4199,59.18,100,75,2.3,CA,1660413617
Saldanha,-33.0117,17.9442,55.62,69,70,18.99,ZA,1660413755
Tula,54.2044,37.6111,73.6,57,0,6.62,RU,1660414285
Fairbanks,64.8378,-147.7164,66.49,80,94,1.01,US,1660413603
Alofi,-19.0595,-169.9187,73.44,65,95,15.43,NU,1660413840
Tuktoyaktuk,69.4541,-133.0374,58.05,62,99,7.94,CA,1660413771
Pathein,16.7833,94.7333,76.53,92,100,4.54,MM,1660414294
Sosnovka,56.255,51.2842,58.98,74,46,4.81,RU,1660414296
Bubaque,11.2833,-15.8333,77.43,84,100,15.66,GW,1660414298
Iqaluit,63.7506,-68.5145,49.69,76,100,8.01,CA,1660413615
Kununurra,-15.7667,128.7333,64.38,68,18,0.0,AU,1660414303
Hobart,-42.8794,147.3294,52.27,95,100,20.71,AU,1660413619
Kyshtovka,56.555,76.6271,59.04,94,78,9.08,RU,1660414307
Mpraeso,6.5932,-0.7346,72.54,89,47,3.58,GH,1660414310
Atar,20.5169,-13.0499,96.94,34,13,8.57,MR,1660413863
Tiksi,71.6872,128.8694,38.43,91,54,13.02,RU,1660413763
Muros,42.7762,-9.0603,76.15,82,25,5.23,ES,1660413774
Zhigansk,66.7697,123.3711,47.48,80,98,13.96,RU,1660414319
Tcholliré,8.4022,14.1698,71.15,97,65,2.82,CM,1660414321
Kapoeta,4.7717,33.5903,78.06,65,100,6.73,SS,1660414323
Kristinestad,62.2743,21.376,61.79,74,51,7.78,FI,1660414326
Guerrero Negro,27.9769,-114.0611,84.7,51,2,7.23,MX,1660413721
Riwaka,-41.0833,173.0,39.0,85,2,3.94,NZ,1660414330
Dalian,38.9122,121.6022,76.93,94,40,4.47,CN,1660414333
Tasiilaq,65.6145,-37.6368,41.16,56,7,7.05,GL,1660413753
Pisco,-13.7,-76.2167,64.02,79,86,8.01,PE,1660413799
Paamiut,61.994,-49.6678,44.38,75,100,6.29,GL,1660414340
Mandalgovi,45.7625,106.2708,55.26,92,52,3.62,MN,1660413807
Port Elizabeth,-33.918,25.5701,50.09,96,75,4.5,ZA,1660413769
Chenzhou,25.8,113.0333,77.5,86,4,5.12,CN,1660414347
Belaya Gora,68.5333,146.4167,41.47,93,100,12.48,RU,1660414349
Hamilton,39.1834,-84.5333,83.73,46,0,8.05,US,1660414301
Oranjemund,-28.55,16.4333,54.41,83,27,6.64,NA,1660413830
Kungurtug,50.5994,97.5228,49.68,90,100,1.83,RU,1660414356
Östersund,63.1792,14.6357,59.61,94,75,3.44,SE,1660414358
Simao,22.7886,100.9748,63.63,99,39,2.39,CN,1660414360
Shizunai-furukawachō,42.3339,142.3669,70.39,87,100,4.47,JP,1660414363
Berdigestyakh,62.0989,126.6992,53.98,94,36,3.78,RU,1660414365
Hithadhoo,-0.6,73.0833,82.94,75,51,8.43,MV,1660414368
Brae,60.3964,-1.353,59.7,88,94,6.35,GB,1660414370
Krasnosel'kup,65.7,82.4667,53.38,62,90,12.21,RU,1660414372
Pontian Kecil,1.4801,103.3899,79.63,84,100,4.27,MY,1660414375
Qaanaaq,77.484,-69.3632,41.85,73,100,12.3,GL,1660414377
Puerto Rico,-26.796,-55.024,76.32,45,100,4.79,AR,1660414281
Ust'-Koksa,50.2696,85.6108,54.9,94,100,2.68,RU,1660414382
Ust-Kuyga,70.0167,135.6,40.01,95,100,5.75,RU,1660414113
Bonavista,48.6499,-53.1147,63.61,89,67,9.13,CA,1660414387
Saint-Philippe,-21.3585,55.7679,69.39,72,54,14.72,RE,1660413801
Tucumcari,35.1717,-103.725,89.44,23,0,5.75,US,1660414161
Kharhiāl,20.2833,82.7667,74.21,97,100,5.23,IN,1660414393
Tomatlán,19.9333,-105.25,90.63,54,44,2.66,MX,1660414396
Gourcy,13.2167,-2.35,89.38,50,59,6.69,BF,1660414398
Sitka,57.0531,-135.33,58.89,82,100,12.66,US,1660414401
Taywarah,33.35,64.4167,64.45,24,67,7.25,AF,1660414272
Half Moon Bay,37.4636,-122.4286,82.89,67,0,14.97,US,1660413815
Hermanus,-34.4187,19.2345,49.8,80,70,21.47,ZA,1660414407
Nouakchott,18.0858,-15.9785,89.53,68,100,8.41,MR,1660414194
Hambantota,6.1241,81.1185,79.93,76,94,14.65,LK,1660414412
Esperance,-33.8667,121.9,56.44,83,64,22.15,AU,1660414414
Cherskiy,68.75,161.3,40.69,69,91,2.91,RU,1660414417
Daru,-9.0763,143.2092,75.83,90,26,8.63,PG,1660414419
Butaritari,3.0707,172.7902,81.28,77,47,16.08,KI,1660414421
Cidreira,-30.1811,-50.2056,66.63,69,100,5.77,BR,1660414424
Iracoubo,5.4802,-53.2011,85.1,67,44,15.97,GF,1660414426
Yangi Marg`ilon,40.4272,71.7189,81.32,41,0,6.91,UZ,1660413871
Khatanga,71.9667,102.5,48.07,57,2,8.84,RU,1660414431
Garden City,42.3256,-83.331,75.15,49,100,12.66,US,1660414415
Vavoua,7.3819,-6.4778,73.31,95,100,3.6,CI,1660414435
Nshamba,-1.7983,31.5511,67.82,64,87,3.6,TZ,1660414438
Nanortalik,60.1432,-45.2371,45.77,98,100,10.8,GL,1660414440
Coquimbo,-29.9533,-71.3436,58.73,77,20,14.97,CL,1660414348
Mīzan Teferī,6.9833,35.5833,60.71,98,95,0.72,ET,1660414445
Carutapera,-1.195,-46.02,83.91,66,54,10.38,BR,1660414448
Rovnoye,50.7765,46.0509,76.15,55,78,5.01,RU,1660414450
Esim,4.8699,-2.2405,76.8,82,32,11.36,GH,1660414453
São Filipe,14.8961,-24.4956,77.02,77,99,9.91,CV,1660414455
Cayenne,4.9333,-52.3333,89.64,38,20,9.22,GF,1660414284
Longkou,37.6508,120.3286,77.04,93,76,9.19,CN,1660414460
Forécariah,9.4306,-13.0881,72.75,97,100,3.49,GN,1660414462
Jalu,29.0331,21.5482,90.41,29,0,18.37,LY,1660414465
Algiers,36.7525,3.042,94.82,24,0,9.22,DZ,1660414170
La Ronge,55.1001,-105.2842,70.02,68,75,8.05,CA,1660414469
Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,100,100,4.47,RU,1660414471
San Patricio,28.017,-97.5169,91.35,47,51,8.21,US,1660414474
Romny,50.751,33.4747,75.24,51,62,17.2,UA,1660414476
Ilulissat,69.2167,-51.1,57.22,38,40,17.27,GL,1660414479
Leningradskiy,69.3833,178.4167,32.9,89,66,5.93,RU,1660414481
Merauke,-8.4667,140.3333,76.75,86,98,10.54,ID,1660414484
Yatou,37.15,122.3833,77.14,94,75,2.57,CN,1660414486
Catuday,16.2923,119.8062,76.33,91,100,8.28,PH,1660414489
Sfântu Gheorghe,45.8667,25.7833,68.83,75,97,3.0,RO,1660414363
Tres Arroyos,-38.3739,-60.2798,68.52,27,28,11.79,AR,1660414223
Ribeira Grande,38.5167,-28.7,81.0,74,20,13.8,PT,1660414495
Atuona,-9.8,-139.0333,75.88,79,4,18.75,PF,1660414498
Surgut,61.25,73.4167,57.38,100,75,13.42,RU,1660414500
León,21.1167,-101.6667,82.15,44,35,4.56,MX,1660414371
Igarka,67.4667,86.5833,50.79,70,98,10.31,RU,1660414505
Rach Gia,10.0167,105.0833,81.0,78,1,10.31,VN,1660414507
Guaratuba,-25.8828,-48.5747,68.02,79,98,6.96,BR,1660414510
Rawson,-43.3002,-65.1023,59.85,42,100,30.33,AR,1660414512
Puerto Ayora,-0.7393,-90.3518,78.76,96,100,8.01,EC,1660414515
San Quintín,30.4833,-115.95,76.59,73,4,8.48,MX,1660414517
Itoman,26.1247,127.6694,82.78,89,40,8.05,JP,1660414520
Arrondissement de Libourne,44.9167,-0.25,81.57,43,59,10.71,FR,1660414522
Sittwe,20.15,92.9,79.57,89,100,15.55,MM,1660414525
Palmer,42.1584,-72.3287,78.06,46,75,9.22,US,1660414527
Dudinka,69.4058,86.1778,53.64,61,100,10.85,RU,1660414529
Jaisalmer,26.9147,70.9181,79.25,80,100,13.71,IN,1660414532
Haines Junction,60.7522,-137.5108,60.75,72,100,3.44,CA,1660414534
Longyearbyen,78.2186,15.6401,44.44,81,75,12.66,SJ,1660414537
Wahiawā,21.5028,-158.0236,77.32,72,0,0.0,US,1660414539
Comodoro Rivadavia,-45.8667,-67.5,58.86,38,0,16.11,AR,1660414501
Necochea,-38.5473,-58.7368,64.92,42,19,5.95,AR,1660414543
Pacocha,-17.5833,-71.3333,64.54,63,75,9.22,PE,1660414546
Lake City,30.1897,-82.6393,81.86,83,75,3.44,US,1660414548
Nome,64.5011,-165.4064,50.16,100,100,5.75,US,1660414480
Sevierville,35.8681,-83.5618,86.7,59,20,6.91,US,1660414542
Morogoro,-6.8167,37.6667,73.2,60,89,5.7,TZ,1660414555
Thompson,55.7435,-97.8558,66.36,48,20,4.61,CA,1660414557
Tocache,-8.1842,-76.5125,89.28,46,85,1.12,PE,1660414559
Upernavik,72.7868,-56.1549,46.92,64,100,1.32,GL,1660414562
Gengenbach,48.4,8.0167,85.41,22,1,5.75,DE,1660414565
Acapulco de Juárez,16.8634,-99.8901,85.82,70,75,5.75,MX,1660414326
Katsuura,35.1333,140.3,80.29,87,91,24.65,JP,1660414570
Kysyl-Syr,63.8986,122.7617,53.76,88,100,4.85,RU,1660414572
Dingle,10.9995,122.6711,76.6,92,100,1.66,PH,1660414575
Buala,-8.145,159.5921,78.67,82,84,4.14,SB,1660414577
Kumul,42.8,93.45,78.42,25,7,11.36,CN,1660414579
Touros,-5.1989,-35.4608,81.73,61,76,18.39,BR,1660414566
Inírida,3.8653,-67.9239,76.68,88,99,1.74,CO,1660414584
Berbera,10.4396,45.0143,91.65,44,100,22.01,SO,1660414586
Meulaboh,4.1363,96.1285,78.91,84,64,2.04,ID,1660414589
Mil'kovo,54.7167,158.6167,58.71,82,94,3.85,RU,1660414591
Boende,-0.2167,20.8667,80.55,57,99,2.77,CD,1660414594
Yar-Sale,66.8333,70.8333,54.23,67,100,6.11,RU,1660414596
Bambous Virieux,-20.3428,57.7575,68.25,77,75,12.66,MU,1660414598
Klaksvík,62.2266,-6.589,52.72,85,72,4.14,FO,1660414601
Khorixas,-20.3667,14.9667,66.33,25,2,11.54,NA,1660414603
Mount Gambier,-37.8333,140.7667,44.51,100,13,4.61,AU,1660414606
Sinnamary,5.3833,-52.95,85.91,64,22,15.35,GF,1660414608
Berlevåg,70.8578,29.0864,55.2,87,100,2.3,NO,1660414610
Antalaha,-14.9003,50.2788,67.44,89,57,7.56,MG,1660414613
Kiryat Gat,31.61,34.7642,81.81,100,2,7.43,IL,1660414615
Norman Wells,65.282,-126.8329,69.84,43,20,5.75,CA,1660414617
Fare,-16.7,-151.0167,77.61,76,35,12.48,PF,1660414620
Carnarvon,-24.8667,113.6333,65.43,73,9,10.31,AU,1660414622
The Valley,18.217,-63.0578,87.94,62,40,10.36,AI,1660414625
Porangatu,-13.4408,-49.1486,97.38,18,21,4.68,BR,1660414627
Tawang Town,27.5833,91.8667,55.65,94,60,3.36,IN,1660414630
Lubango,-14.9172,13.4925,58.17,62,33,5.08,AO,1660414632
Tobermory,45.2501,-81.6665,65.97,61,72,9.48,CA,1660414635
Sola,-13.8833,167.55,78.3,83,94,21.09,VU,1660414637
Aromashevo,56.8602,68.6375,58.41,65,35,16.67,RU,1660414640
Kabarnet,0.4919,35.743,57.18,94,97,2.46,KE,1660414642
Esil,51.9556,66.4042,68.77,48,1,6.82,KZ,1660414645
Nouadhibou,20.931,-17.0347,78.78,73,63,11.5,MR,1660414647
Port Blair,11.6667,92.75,80.64,89,40,4.61,IN,1660414638
Lagoa,39.05,-27.9833,75.65,83,1,12.03,PT,1660414651
Kiunga,-6.1219,141.2906,72.43,100,100,2.01,PG,1660414654
Kavaratti,10.5669,72.642,81.03,79,98,12.12,IN,1660414656
Inhambane,-23.865,35.3833,73.08,77,0,17.27,MZ,1660414658
Ponta do Sol,32.6667,-17.1,78.01,75,36,5.61,PT,1660414661
Cabo San Lucas,22.8909,-109.9124,92.61,73,40,11.5,MX,1660414663
Auki,-8.7676,160.7034,75.09,88,78,3.47,SB,1660414665
Magdagachi,53.45,125.8,53.47,96,85,1.16,RU,1660414668
Whitehorse,60.7161,-135.0538,65.17,58,20,16.11,CA,1660414670
Halifax,44.6453,-63.5724,82.29,72,41,8.05,CA,1660414436
Waddān,29.1614,16.139,90.68,23,0,10.51,LY,1660414675
Saint Anthony,45.0205,-93.218,69.73,72,100,11.5,US,1660414677
Sheregesh,52.9209,87.9869,56.48,99,92,5.06,RU,1660414679
Kibala,9.1104,18.3463,72.27,95,63,4.25,TD,1660414682
Pacific Grove,36.6177,-121.9166,74.55,79,0,11.99,US,1660414684
Praia da Vitória,38.7333,-27.0667,82.65,74,20,11.86,PT,1660414687
Vavozh,56.7751,51.931,55.99,68,11,5.44,RU,1660414689
Marrakesh,31.6315,-8.0083,98.67,30,40,8.05,MA,1660414509
Arecibo,18.4724,-66.7157,91.35,72,0,3.0,PR,1660414694
Souillac,-20.5167,57.5167,68.38,77,75,12.66,MU,1660414696
Esso,55.9333,158.7,53.31,93,21,2.28,RU,1660414698
Itarema,-2.9248,-39.9167,83.62,62,52,21.03,BR,1660414521
Kailua,21.4022,-157.7394,82.38,70,20,8.05,US,1660414703
Korla,41.7597,86.1469,81.88,35,36,8.37,CN,1660414705
Behbahān,30.5959,50.2417,97.14,21,0,1.39,IR,1660414708
Shestakovo,56.4915,103.96,47.8,88,34,1.14,RU,1660414710
Salihorsk,52.7876,27.5415,66.78,87,100,6.78,BY,1660414712
Serebryanyy Bor,56.8,124.8,50.94,96,100,2.19,RU,1660414715
Isangel,-19.55,169.2667,71.83,74,92,16.2,VU,1660414717
Teahupoo,-17.8333,-149.2667,71.56,79,40,15.97,PF,1660414720
Majene,-3.5403,118.9707,77.36,84,19,4.72,ID,1660414722
Pontianak,-0.0333,109.3333,71.58,94,100,4.61,ID,1660414724
Goālpāra,26.1667,90.6167,80.8,87,99,3.71,IN,1660414727
Matara,5.9485,80.5353,78.48,88,89,9.93,LK,1660414729
Bloemfontein,-29.1211,26.214,58.48,31,0,4.61,ZA,1660414731
Avera,33.194,-82.5271,85.55,43,100,8.39,US,1660414734
Cerro Largo,-28.1486,-54.7381,71.6,65,100,4.5,BR,1660414736
Ipixuna,-1.7625,-48.8043,93.54,40,25,6.42,BR,1660414738
Cirebon,-6.7063,108.557,78.58,82,78,3.49,ID,1660414741
Baykit,61.67,96.37,44.1,87,6,2.82,RU,1660414743
Port Augusta,-32.5,137.7667,44.29,92,15,3.04,AU,1660414746
Cabedelo,-6.9811,-34.8339,83.07,73,74,19.17,BR,1660414618
Castro,-24.7911,-50.0119,68.77,45,78,6.73,BR,1660414750
Kalāleh,37.3807,55.4916,82.0,61,0,0.0,IR,1660414631
Kaitangata,-46.2817,169.8464,37.58,90,9,9.55,NZ,1660414755
Melfi,40.9965,15.6514,64.49,77,73,6.69,IT,1660414757
Salgar,5.965,-75.9654,76.59,67,92,1.5,CO,1660414760
Fushë-Arrëz,42.0622,20.0167,67.89,74,57,5.08,AL,1660414762
Oriximiná,-1.7656,-55.8661,95.14,36,37,7.16,BR,1660414765
Port Montt,-41.4698,-72.9447,49.03,93,100,12.66,CL,1660414767
Nyimba,-14.5566,30.8149,71.08,34,16,5.7,ZM,1660414769
Agadez,19.75,10.25,96.55,13,8,8.1,NE,1660414772
Lompoc,34.6391,-120.4579,80.85,68,0,13.8,US,1660414567
Guangzhou,23.1167,113.25,82.87,76,8,4.92,CN,1660414430
Lorengau,-2.0226,147.2712,80.2,76,94,4.0,PG,1660414778
Kānker,20.2719,81.4931,74.55,95,100,8.25,IN,1660414781
Xining,36.6167,101.7667,65.07,92,100,1.3,CN,1660414743
Quatre Cocos,-20.2078,57.7625,68.11,69,85,17.85,MU,1660414785
Coos Bay,43.3665,-124.2179,73.31,82,0,10.36,US,1660414516
Aksarka,66.5606,67.7975,49.71,79,49,9.17,RU,1660414790
Riohacha,11.5444,-72.9072,88.54,61,92,11.92,CO,1660414792
Claremorris,53.7167,-9.0,73.35,65,44,7.47,IE,1660414794
Revelstoke,50.9832,-118.2023,71.62,68,0,9.22,CA,1660414589
Hereford,52.0568,-2.7148,90.34,34,52,6.58,GB,1660414511
Hasaki,35.7333,140.8333,77.4,88,100,12.95,JP,1660414801
Pimenteiras,-6.2453,-41.4192,96.46,16,10,9.46,BR,1660414804
Walvis Bay,-22.9575,14.5053,58.15,77,13,6.91,NA,1660414806
Mocuba,-16.8392,36.9856,70.43,61,0,6.06,MZ,1660414809
Bungu,-7.6337,39.0582,67.93,90,7,5.35,TZ,1660414811
Carambeí,-24.9178,-50.0972,67.21,46,79,6.62,BR,1660414813
Lincoln,40.8,-96.667,94.14,47,0,11.5,US,1660414691
Viranşehir,37.2353,39.7631,93.87,27,0,15.57,TR,1660414818
Codrington,-38.2667,141.9667,48.11,86,24,7.87,AU,1660414821
Kloulklubed,7.0419,134.2556,72.1,83,100,6.69,PW,1660414823
Tautira,-17.7333,-149.15,76.89,79,36,15.23,PF,1660414825
Maceió,-9.6658,-35.7353,83.64,57,40,17.27,BR,1660414624
Talnakh,69.4865,88.3972,55.83,54,99,11.39,RU,1660414830
Kasempa,-13.4584,25.8338,66.76,30,25,3.83,ZM,1660414833
Grand Gaube,-20.0064,57.6608,68.4,64,75,7.0,MU,1660414835
Hendrina,-26.1588,29.7153,59.07,27,21,4.97,ZA,1660414837
Poplar Bluff,36.757,-90.3929,84.33,56,0,4.61,US,1660414694
Roald,62.5833,6.1333,64.17,88,75,11.5,NO,1660414842
Taoudenni,22.6783,-3.9836,109.98,13,15,12.37,ML,1660414844
Nyurba,63.2842,118.3319,54.77,96,100,5.77,RU,1660414847
Turan,16.0678,108.2208,78.78,94,20,3.44,VN,1660414849
Telêmaco Borba,-24.3239,-50.6156,71.78,43,95,4.27,BR,1660414852
Opuwo,-18.0607,13.84,70.45,14,0,8.52,NA,1660414854
Makakilo City,21.3469,-158.0858,80.92,67,0,4.61,US,1660414856
Umm Kaddadah,13.6017,26.6876,88.68,42,96,8.5,SD,1660414858
Kwang Binh,17.4833,106.6,79.93,80,93,5.59,VN,1660414861
Olafsvik,64.8945,-23.7142,50.31,71,43,8.41,IS,1660414864
Khani,41.9563,42.9566,69.37,56,0,4.16,GE,1660414866
Maniitsoq,65.4167,-52.9,43.05,78,81,6.06,GL,1660414868
Charters Towers,-20.1,146.2667,57.25,37,0,9.95,AU,1660414871
Kunming,25.0389,102.7183,64.33,94,40,11.18,CN,1660414748
Portland,45.5234,-122.6762,74.95,58,40,5.75,US,1660414719
Ambanja,-13.6833,48.45,71.78,73,21,1.39,MG,1660414878
Boa Vista,2.8197,-60.6733,78.78,73,75,18.41,BR,1660414664
Birao,10.2849,22.7882,73.45,90,73,4.36,CF,1660414882
Pierre,44.3683,-100.351,87.06,48,0,11.5,US,1660414617
Alta Floresta,-9.8756,-56.0861,100.22,22,0,6.91,BR,1660414887
Mitsamiouli,-11.3847,43.2844,76.01,74,12,3.67,KM,1660414889
Laas,46.6166,10.7002,74.28,66,56,2.28,IT,1660414892
Soyo,-6.1349,12.3689,69.91,81,99,4.9,AO,1660414894
Porto-Novo,6.4965,2.6036,76.82,82,99,11.41,BJ,1660414896
Kingori,-3.2833,36.9833,65.23,60,51,6.42,TZ,1660414899
Nabire,-3.3667,135.4833,75.33,93,92,3.47,ID,1660414901
Moose Factory,51.2585,-80.6094,66.2,72,100,2.3,CA,1660414903
Aykhal,66.0,111.5,45.5,81,100,5.53,RU,1660414906
Carballo,43.213,-8.691,74.91,71,10,7.23,ES,1660414757
Sakakah,29.9697,40.2064,96.37,19,0,13.29,SA,1660414910
Egvekinot,66.3167,-179.1667,36.28,69,93,2.06,RU,1660414913
Phan Thiet,10.9333,108.1,77.52,85,14,5.5,VN,1660414734
Jizan,17.3333,42.6667,88.74,67,99,5.79,SA,1660414917
Shimoda,34.6667,138.95,79.11,89,77,20.89,JP,1660414919
Chegutu,-18.1302,30.1407,66.81,32,0,2.93,ZW,1660414922
Palauig,15.435,119.9045,80.08,85,100,10.76,PH,1660414925
Beringovskiy,63.05,179.3167,46.51,84,100,13.67,RU,1660414927
Shatsk,54.0258,41.7119,68.9,48,86,5.61,RU,1660414929
Bhinga,27.7167,81.9333,85.17,67,48,4.32,IN,1660414932
Lahat,-3.8,103.5333,72.86,98,100,3.56,ID,1660414934
Markova,48.6758,24.4138,62.85,92,75,2.93,UA,1660414937
Asău,46.4333,26.4,70.72,86,89,3.85,RO,1660414939
Ahipara,-35.1667,173.1667,50.97,84,76,2.64,NZ,1660414941
Morro Bay,35.3658,-120.8499,92.25,49,1,8.99,US,1660414944
Yambio,4.5721,28.3955,68.7,97,99,3.98,SS,1660414946
At-Bashi,41.1702,75.8106,58.6,45,0,1.97,KG,1660414949
Galle,6.0367,80.217,79.3,88,89,9.89,LK,1660414951
Camargo,27.6667,-105.1667,88.11,31,56,8.5,MX,1660414953
Calabozo,8.9242,-67.4293,83.97,75,64,3.94,VE,1660414956
San Ramon,37.7799,-121.978,84.81,51,0,5.01,US,1660414768
Langxiang,46.95,128.8833,54.28,96,13,2.15,CN,1660414960
Payson,40.0444,-111.7321,85.41,42,75,4.61,US,1660414678
Gobabis,-22.45,18.9667,64.56,16,1,9.71,NA,1660414965
